ensembl_transcript_id	sym	ensembl_peptide_id	SRR3401749	SRR3401751	SRR3401745	SRR3401747	SRR3401746	SRR3401748	SRR3401750	SRR3401752	ERR7417863	ERR7417867	ERR7417864	ERR7417870	ERR7417865	ERR7417866	ERR7417869	ERR7417868	SRR22810193	SRR22810194	SRR22810191	SRR22810192	SRR22810189	SRR22810190	SRR11184908	SRR11184909	SRR11184911	SRR11184915	SRR11184916	SRR11184910	SRR11184912	SRR11184917	SRR11184918	SRR11184913	SRR11184914	SRR11184919	SRR11184920	SRR11184921	SRR10572658	SRR10572659	SRR10572660	SRR10572663	SRR10572664	SRR10572657	SRR10572661	SRR10572662	SRR3401399	SRR3401401	SRR5812574	SRR5812577	SRR5812581	SRR5812564	SRR5812565	SRR5812569	SRR5812580	SRR5812570	SRR5812573	SRR5812575	SRR5812576	SRR5812578	SRR5812579	SRR5812566	SRR5812571	SRR5812567	SRR5812568	SRR5812572	SRR18502223	SRR18502227	SRR18502237	SRR18502228	SRR18502231	SRR18502232	SRR18502238	SRR18502234	SRR18502235	SRR18502236	SRR18502224	SRR18502225	SRR18502226	SRR18502229	SRR18502230	SRR18502233
ENSCGRT00001000001	ENSCGRG00001000001	non-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001000002	ENSCGRG00001000002	non-coding	622.293752	265.519073	220.385406	565.404357	517.700883	865.229588	694.557061	311.462123	198.891244	231.83792	208.748759	153.852744	155.078214	155.772067	175.264892	205.195595	28.563082	31.414882	52.468666	29.348556	48.654069	65.392409	366.290905	441.70237	350.660709	482.028349	437.85405	288.37167	357.338965	307.007894	582.405287	342.776211	323.897017	635.675364	373.779226	377.387225	390.9658	412.592909	411.834105	382.031219	330.096354	278.509416	381.492712	955.566805	220.384516	517.674389	244.724907	218.814137	239.691918	255.625718	226.821108	183.578301	240.119467	225.514754	279.309287	245.301535	215.956209	287.745485	283.723267	249.273198	231.576332	158.018895	144.550021	282.952231	551.37224	221.601028	180.707053	250.461875	226.178119	239.523087	248.228815	313.991525	209.572962	182.648353	748.577331	566.150706	776.427979	303.345113	224.227489	237.165836
ENSCGRT00001000003	ENSCGRG00001000003	non-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001000004	ENSCGRG00001000004	non-coding	724.798448	381.048027	649.373658	555.77611	991.721233	628.449561	994.443602	350.03438	168.225515	343.740668	294.11404	189.148026	192.392094	204.705601	135.745305	148.125686	239.530153	215.015286	362.703147	253.291676	347.214076	372.42717	524.125838	632.841927	491.695116	598.898752	586.335017	477.437169	702.031619	614.693904	672.224444	674.582126	626.89479	547.726195	659.183697	706.478731	3778.646471	3558.523029	3496.890393	3621.958915	3017.950983	2898.945795	3285.590681	6384.953354	649.371963	991.67469	577.255767	603.454725	622.724223	539.035747	568.534099	316.131592	631.133014	583.923428	607.741306	568.005574	602.878238	665.072614	657.489323	537.370954	579.230898	305.28926	270.183797	594.522992	747.261451	345.157632	251.728702	383.943153	328.819469	280.73061	429.955235	407.222966	239.70226	300.933701	944.359174	775.382646	1007.763404	448.050675	408.405475	298.56057
ENSCGRT00001000005	ENSCGRG00001000005	non-coding	0	3.895087	0	0	0	0	0	4.209888	0	0	10.9226	0	5.872678	5.437571	0	0	0	0	30.649677	28.573364	0	0	0	0	0	0	0	0	3.232705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.748804	0	0	0	0	0	0	0	0	0	0	0	0	4.898894	0	0	0	0	0	0	0	0
ENSCGRT00001000006	ND1	ENSCGRP00001000001	8783.956687	7755.338206	6696.65067	7783.412183	6166.296867	8725.126778	10690.544976	8599.924964	1597.846101	2260.437785	2629.095466	1688.214526	1716.387499	1823.327997	1508.401252	1499.538927	3738.677087	3312.901597	3828.648065	3959.968179	4017.370454	4230.832055	10936.940389	12241.102965	10264.06545	9751.862615	9111.186233	10585.017645	10264.438317	9395.664595	8962.297786	9481.885143	9378.528999	5979.047352	9029.389098	8593.644382	350.107044	331.361074	387.489626	339.224249	304.464844	339.381322	307.241814	437.396156	6696.626334	6166.010088	6847.592825	6855.238226	6717.765771	6130.63192	6396.488705	7498.288429	6729.275496	6672.400365	6318.02648	6849.861555	6885.214977	6816.370616	6751.509483	6771.598828	6642.139984	7525.450151	7186.376241	6319.930353	4478.363526	4060.517118	3147.273308	4107.201083	3553.759416	3056.527137	4453.137967	4079.46475	3544.306209	3207.141822	4821.5494	4782.380483	5033.666174	5016.248564	3768.482688	3498.24127
ENSCGRT00001000007	ENSCGRG00001000007	non-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001000008	ENSCGRG00001000008	non-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.404335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.228707	0	0	0	0	0	0	0	0
ENSCGRT00001000009	mt-Tm	non-coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.676572	9.584644	1.77804	6.091336	6.558882	7.227418	5.833148	13.793095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001000010	ND2	ENSCGRP00001000002	15163.617098	14558.240508	9134.909941	13470.020765	10750.067448	19511.814975	20295.279726	21941.516414	4088.442147	3450.641724	4271.054487	2397.651922	2403.291706	2375.307721	3701.258355	3875.484598	3300.37885	2734.550202	3235.32286	4141.609782	3573.687713	3917.167459	9597.886252	10894.617963	10568.979813	9509.778332	10543.606614	11533.236217	8308.308087	7863.5024	9606.528665	7445.129758	7846.266221	8215.6334	8700.453798	7522.971476	209.92989	198.208169	164.318235	199.610911	156.387009	187.934295	169.91026	270.02309	9134.877389	10749.627965	11079.256522	9209.191219	8825.664904	10414.331917	8985.965747	11485.717431	8881.82799	9864.952202	9501.807951	10998.290631	9191.405582	8828.529551	8771.9385	10488.073619	9828.262032	12344.712974	11684.589717	9450.314311	5111.074437	5574.940018	3904.909897	5892.013591	4639.948637	4168.662389	5047.620127	4911.70696	3832.644979	4122.487799	6392.847852	7183.441875	6654.207375	6003.962706	4809.546482	4492.904079
